year,State,PCE Category,PCE
2003,Connecticut,      Clothing and footwear,1151
2003,Connecticut,      Gasoline and other energy goods,780
2003,Connecticut,    Household consumption expenditures (for services),21445
2003,Connecticut,      Housing and utilities,6575
2003,Connecticut,      Health care,4816
2003,Delaware,      Clothing and footwear,1118
2003,Delaware,      Gasoline and other energy goods,640
2003,Delaware,    Household consumption expenditures (for services),17106
2003,Delaware,      Housing and utilities,5007
2003,Delaware,      Health care,4501
2003,District of Columbia,      Clothing and footwear,1315
2003,District of Columbia,      Gasoline and other energy goods,773
2003,District of Columbia,    Household consumption expenditures (for services),29246
2003,District of Columbia,      Housing and utilities,5956
2003,District of Columbia,      Health care,6784
2003,Florida,      Clothing and footwear,807
2003,Florida,      Gasoline and other energy goods,544
2003,Florida,    Household consumption expenditures (for services),16637
2003,Florida,      Housing and utilities,4828
2003,Florida,      Health care,4105
2003,Georgia,      Clothing and footwear,989
2003,Georgia,      Gasoline and other energy goods,720
2003,Georgia,    Household consumption expenditures (for services),14738
2003,Georgia,      Housing and utilities,4244
2003,Georgia,      Health care,3551
2003,Hawaii,      Clothing and footwear,664
2003,Hawaii,      Gasoline and other energy goods,475
2003,Hawaii,    Household consumption expenditures (for services),16647
2003,Hawaii,      Housing and utilities,5191
2003,Hawaii,      Health care,3983
2003,Idaho,      Clothing and footwear,673
2003,Idaho,      Gasoline and other energy goods,806
2003,Idaho,    Household consumption expenditures (for services),12909
2003,Idaho,      Housing and utilities,4017
2003,Idaho,      Health care,3194
2003,Illinois,      Clothing and footwear,1044
2003,Illinois,      Gasoline and other energy goods,529
2003,Illinois,    Household consumption expenditures (for services),17623
2003,Illinois,      Housing and utilities,5148
2003,Illinois,      Health care,3922
2003,Indiana,      Clothing and footwear,873
2003,Indiana,      Gasoline and other energy goods,863
2003,Indiana,    Household consumption expenditures (for services),14413
2003,Indiana,      Housing and utilities,4017
2003,Indiana,      Health care,3894
2003,Iowa,      Clothing and footwear,806
2003,Iowa,      Gasoline and other energy goods,923
2003,Iowa,    Household consumption expenditures (for services),14098
2003,Iowa,      Housing and utilities,3823
2003,Iowa,      Health care,3812
2003,Kansas,      Clothing and footwear,800
2003,Kansas,      Gasoline and other energy goods,700
2003,Kansas,    Household consumption expenditures (for services),14464
2003,Kansas,      Housing and utilities,4049
2003,Kansas,      Health care,3849
2003,Kentucky,      Clothing and footwear,773
2003,Kentucky,      Gasoline and other energy goods,800
2003,Kentucky,    Household consumption expenditures (for services),12906
2003,Kentucky,      Housing and utilities,3402
2003,Kentucky,      Health care,3842
2003,Louisiana,      Clothing and footwear,846
2003,Louisiana,      Gasoline and other energy goods,643
2003,Louisiana,    Household consumption expenditures (for services),12999
2003,Louisiana,      Housing and utilities,3705
2003,Louisiana,      Health care,3737
2003,Maine,      Clothing and footwear,905
2003,Maine,      Gasoline and other energy goods,1210
2003,Maine,    Household consumption expenditures (for services),16231
2003,Maine,      Housing and utilities,4248
2003,Maine,      Health care,4368
2003,Maryland,      Clothing and footwear,1068
2003,Maryland,      Gasoline and other energy goods,671
2003,Maryland,    Household consumption expenditures (for services),18487
2003,Maryland,      Housing and utilities,5812
2003,Maryland,      Health care,4253
2003,Massachusetts,      Clothing and footwear,1285
2003,Massachusetts,      Gasoline and other energy goods,691
2003,Massachusetts,    Household consumption expenditures (for services),22256
2003,Massachusetts,      Housing and utilities,6582
2003,Massachusetts,      Health care,5398
2003,Michigan,      Clothing and footwear,902
2003,Michigan,      Gasoline and other energy goods,720
2003,Michigan,    Household consumption expenditures (for services),16009
2003,Michigan,      Housing and utilities,4659
2003,Michigan,      Health care,3731
2003,Minnesota,      Clothing and footwear,1023
2003,Minnesota,      Gasoline and other energy goods,852
2003,Minnesota,    Household consumption expenditures (for services),18840
2003,Minnesota,      Housing and utilities,4865
2003,Minnesota,      Health care,4867
2003,Mississippi,      Clothing and footwear,784
2003,Mississippi,      Gasoline and other energy goods,778
2003,Mississippi,    Household consumption expenditures (for services),11271
2003,Mississippi,      Housing and utilities,3365
2003,Mississippi,      Health care,3544
2003,Missouri,      Clothing and footwear,860
2003,Missouri,      Gasoline and other energy goods,868
2003,Missouri,    Household consumption expenditures (for services),15398
2003,Missouri,      Housing and utilities,3942
2003,Missouri,      Health care,4135
2003,Montana,      Clothing and footwear,735
2003,Montana,      Gasoline and other energy goods,815
2003,Montana,    Household consumption expenditures (for services),13917
2003,Montana,      Housing and utilities,3904
2003,Montana,      Health care,3734
2003,Nebraska,      Clothing and footwear,826
2003,Nebraska,      Gasoline and other energy goods,965
2003,Nebraska,    Household consumption expenditures (for services),15598
2003,Nebraska,      Housing and utilities,3988
2003,Nebraska,      Health care,4082
2003,Nevada,      Clothing and footwear,804
2003,Nevada,      Gasoline and other energy goods,658
2003,Nevada,    Household consumption expenditures (for services),16178
2003,Nevada,      Housing and utilities,4657
2003,Nevada,      Health care,3266
2003,New Hampshire,      Clothing and footwear,1345
2003,New Hampshire,      Gasoline and other energy goods,1103
2003,New Hampshire,    Household consumption expenditures (for services),19309
2003,New Hampshire,      Housing and utilities,5915
2003,New Hampshire,      Health care,4463
2003,New Jersey,      Clothing and footwear,1337
2003,New Jersey,      Gasoline and other energy goods,556
2003,New Jersey,    Household consumption expenditures (for services),20751
2003,New Jersey,      Housing and utilities,6479
2003,New Jersey,      Health care,4327
2003,New Mexico,      Clothing and footwear,761
2003,New Mexico,      Gasoline and other energy goods,862
2003,New Mexico,    Household consumption expenditures (for services),13311
2003,New Mexico,      Housing and utilities,3862
2003,New Mexico,      Health care,3114
2003,New York,      Clothing and footwear,1341
2003,New York,      Gasoline and other energy goods,481
2003,New York,    Household consumption expenditures (for services),19525
2003,New York,      Housing and utilities,5428
2003,New York,      Health care,4766
2003,North Carolina,      Clothing and footwear,901
2003,North Carolina,      Gasoline and other energy goods,747
2003,North Carolina,    Household consumption expenditures (for services),13580
2003,North Carolina,      Housing and utilities,3833
2003,North Carolina,      Health care,3712
2003,North Dakota,      Clothing and footwear,893
2003,North Dakota,      Gasoline and other energy goods,1270
2003,North Dakota,    Household consumption expenditures (for services),14353
2003,North Dakota,      Housing and utilities,3351
2003,North Dakota,      Health care,4231
2003,Ohio,      Clothing and footwear,891
2003,Ohio,      Gasoline and other energy goods,666
2003,Ohio,    Household consumption expenditures (for services),15627
2003,Ohio,      Housing and utilities,4181
2003,Ohio,      Health care,4204
2003,Oklahoma,      Clothing and footwear,828
2003,Oklahoma,      Gasoline and other energy goods,743
2003,Oklahoma,    Household consumption expenditures (for services),12443
2003,Oklahoma,      Housing and utilities,3494
2003,Oklahoma,      Health care,3628
2003,Oregon,      Clothing and footwear,885
2003,Oregon,      Gasoline and other energy goods,643
2003,Oregon,    Household consumption expenditures (for services),16359
2003,Oregon,      Housing and utilities,5469
2003,Oregon,      Health care,3630
2003,Pennsylvania,      Clothing and footwear,997
2003,Pennsylvania,      Gasoline and other energy goods,673
2003,Pennsylvania,    Household consumption expenditures (for services),17251
2003,Pennsylvania,      Housing and utilities,4268
2003,Pennsylvania,      Health care,4419
2003,Rhode Island,      Clothing and footwear,907
2003,Rhode Island,      Gasoline and other energy goods,741
2003,Rhode Island,    Household consumption expenditures (for services),17672
2003,Rhode Island,      Housing and utilities,5220
2003,Rhode Island,      Health care,4426
2003,South Carolina,      Clothing and footwear,1023
2003,South Carolina,      Gasoline and other energy goods,842
2003,South Carolina,    Household consumption expenditures (for services),13166
2003,South Carolina,      Housing and utilities,3618
2003,South Carolina,      Health care,3580
2003,South Dakota,      Clothing and footwear,770
2003,South Dakota,      Gasoline and other energy goods,1107
2003,South Dakota,    Household consumption expenditures (for services),14562
2003,South Dakota,      Housing and utilities,3567
2003,South Dakota,      Health care,4292
2003,Tennessee,      Clothing and footwear,912
2003,Tennessee,      Gasoline and other energy goods,660
2003,Tennessee,    Household consumption expenditures (for services),14143
2003,Tennessee,      Housing and utilities,4055
2003,Tennessee,      Health care,3937
2003,Texas,      Clothing and footwear,976
2003,Texas,      Gasoline and other energy goods,694
2003,Texas,    Household consumption expenditures (for services),15015
2003,Texas,      Housing and utilities,4298
2003,Texas,      Health care,3579
2003,Utah,      Clothing and footwear,844
2003,Utah,      Gasoline and other energy goods,686
2003,Utah,    Household consumption expenditures (for services),13589
2003,Utah,      Housing and utilities,4517
2003,Utah,      Health care,2836
2003,Vermont,      Clothing and footwear,849
2003,Vermont,      Gasoline and other energy goods,1181
2003,Vermont,    Household consumption expenditures (for services),17708
2003,Vermont,      Housing and utilities,4886
2003,Vermont,      Health care,4583
2003,Virginia,      Clothing and footwear,1081
2003,Virginia,      Gasoline and other energy goods,808
2003,Virginia,    Household consumption expenditures (for services),17266
2003,Virginia,      Housing and utilities,5057
2003,Virginia,      Health care,3537
2003,Washington,      Clothing and footwear,851
2003,Washington,      Gasoline and other energy goods,681
2003,Washington,    Household consumption expenditures (for services),17912
2003,Washington,      Housing and utilities,5788
2003,Washington,      Health care,4066
2003,West Virginia,      Clothing and footwear,656
2003,West Virginia,      Gasoline and other energy goods,735
2003,West Virginia,    Household consumption expenditures (for services),12162
2003,West Virginia,      Housing and utilities,3010
2003,West Virginia,      Health care,4220
2003,Wisconsin,      Clothing and footwear,845
2003,Wisconsin,      Gasoline and other energy goods,797
2003,Wisconsin,    Household consumption expenditures (for services),16225
2003,Wisconsin,      Housing and utilities,4543
2003,Wisconsin,      Health care,4461
2003,Wyoming,      Clothing and footwear,686
2003,Wyoming,      Gasoline and other energy goods,1608
2003,Wyoming,    Household consumption expenditures (for services),15179
2003,Wyoming,      Housing and utilities,4161
2003,Wyoming,      Health care,3627
2004,United States,      Clothing and footwear,1016
2004,United States,      Gasoline and other energy goods,795
2004,United States,    Household consumption expenditures (for services),17432
2004,United States,      Housing and utilities,5017
2004,United States,      Health care,4231
2004,Alabama,      Clothing and footwear,881
2004,Alabama,      Gasoline and other energy goods,822
2004,Alabama,    Household consumption expenditures (for services),13533
2004,Alabama,      Housing and utilities,3461
2004,Alabama,      Health care,3874
2004,Alaska,      Clothing and footwear,896
2004,Alaska,      Gasoline and other energy goods,949
2004,Alaska,    Household consumption expenditures (for services),20140
2004,Alaska,      Housing and utilities,5257
2004,Alaska,      Health care,5561
2004,Arizona,      Clothing and footwear,925
2004,Arizona,      Gasoline and other energy goods,776
2004,Arizona,    Household consumption expenditures (for services),15913
2004,Arizona,      Housing and utilities,4477
2004,Arizona,      Health care,3569
2004,Arkansas,      Clothing and footwear,856
2004,Arkansas,      Gasoline and other energy goods,968
2004,Arkansas,    Household consumption expenditures (for services),12787
2004,Arkansas,      Housing and utilities,3437
2004,Arkansas,      Health care,3767
2004,California,      Clothing and footwear,1156
2004,California,      Gasoline and other energy goods,666
2004,California,    Household consumption expenditures (for services),18952
2004,California,      Housing and utilities,6128
2004,California,      Health care,3857
2004,Colorado,      Clothing and footwear,1037
2004,Colorado,      Gasoline and other energy goods,791
2004,Colorado,    Household consumption expenditures (for services),19692
2004,Colorado,      Housing and utilities,6237
2004,Colorado,      Health care,4052
2004,Connecticut,      Clothing and footwear,1211
2004,Connecticut,      Gasoline and other energy goods,892
2004,Connecticut,    Household consumption expenditures (for services),22706
2004,Connecticut,      Housing and utilities,6879
2004,Connecticut,      Health care,5100
2004,Delaware,      Clothing and footwear,1137
2004,Delaware,      Gasoline and other energy goods,766
2004,Delaware,    Household consumption expenditures (for services),18099
2004,Delaware,      Housing and utilities,5222
2004,Delaware,      Health care,4865
2004,District of Columbia,      Clothing and footwear,1358
2004,District of Columbia,      Gasoline and other energy goods,896
2004,District of Columbia,    Household consumption expenditures (for services),31229
2004,District of Columbia,      Housing and utilities,6255
2004,District of Columbia,      Health care,7130
2004,Florida,      Clothing and footwear,844
2004,Florida,      Gasoline and other energy goods,637
2004,Florida,    Household consumption expenditures (for services),17495
2004,Florida,      Housing and utilities,4966
2004,Florida,      Health care,4328
2004,Georgia,      Clothing and footwear,1004
2004,Georgia,      Gasoline and other energy goods,843
2004,Georgia,    Household consumption expenditures (for services),15425
2004,Georgia,      Housing and utilities,4420
2004,Georgia,      Health care,3732
2004,Hawaii,      Clothing and footwear,687
2004,Hawaii,      Gasoline and other energy goods,559
2004,Hawaii,    Household consumption expenditures (for services),17407
2004,Hawaii,      Housing and utilities,5409
2004,Hawaii,      Health care,4048
2004,Idaho,      Clothing and footwear,685
2004,Idaho,      Gasoline and other energy goods,907
2004,Idaho,    Household consumption expenditures (for services),13660
2004,Idaho,      Housing and utilities,4191
2004,Idaho,      Health care,3395
2004,Illinois,      Clothing and footwear,1081
2004,Illinois,      Gasoline and other energy goods,616
2004,Illinois,    Household consumption expenditures (for services),18559
2004,Illinois,      Housing and utilities,5359
2004,Illinois,      Health care,4132
2004,Indiana,      Clothing and footwear,880
2004,Indiana,      Gasoline and other energy goods,1010
2004,Indiana,    Household consumption expenditures (for services),15330
2004,Indiana,      Housing and utilities,4183
2004,Indiana,      Health care,4242
2004,Iowa,      Clothing and footwear,825
2004,Iowa,      Gasoline and other energy goods,1115
2004,Iowa,    Household consumption expenditures (for services),14871
2004,Iowa,      Housing and utilities,4006
2004,Iowa,      Health care,4042
2004,Kansas,      Clothing and footwear,780
2004,Kansas,      Gasoline and other energy goods,809
2004,Kansas,    Household consumption expenditures (for services),15354
2004,Kansas,      Housing and utilities,4242
2004,Kansas,      Health care,4134
2004,Kentucky,      Clothing and footwear,774
2004,Kentucky,      Gasoline and other energy goods,940
2004,Kentucky,    Household consumption expenditures (for services),13541
2004,Kentucky,      Housing and utilities,3564
2004,Kentucky,      Health care,4070
2004,Louisiana,      Clothing and footwear,860
2004,Louisiana,      Gasoline and other energy goods,741
2004,Louisiana,    Household consumption expenditures (for services),13737
2004,Louisiana,      Housing and utilities,3862
2004,Louisiana,      Health care,4003
2004,Maine,      Clothing and footwear,963
2004,Maine,      Gasoline and other energy goods,1442
2004,Maine,    Household consumption expenditures (for services),17172
2004,Maine,      Housing and utilities,4445
2004,Maine,      Health care,4724
2004,Maryland,      Clothing and footwear,1124
2004,Maryland,      Gasoline and other energy goods,785
2004,Maryland,    Household consumption expenditures (for services),19635
2004,Maryland,      Housing and utilities,6109
2004,Maryland,      Health care,4594
2004,Massachusetts,      Clothing and footwear,1347
2004,Massachusetts,      Gasoline and other energy goods,821
2004,Massachusetts,    Household consumption expenditures (for services),23522
2004,Massachusetts,      Housing and utilities,6905
2004,Massachusetts,      Health care,5761
2004,Michigan,      Clothing and footwear,906
2004,Michigan,      Gasoline and other energy goods,794
2004,Michigan,    Household consumption expenditures (for services),16813
2004,Michigan,      Housing and utilities,4862
2004,Michigan,      Health care,4015
2004,Minnesota,      Clothing and footwear,1069
2004,Minnesota,      Gasoline and other energy goods,976
2004,Minnesota,    Household consumption expenditures (for services),19626
2004,Minnesota,      Housing and utilities,5102
2004,Minnesota,      Health care,5075
2004,Mississippi,      Clothing and footwear,793
2004,Mississippi,      Gasoline and other energy goods,893
2004,Mississippi,    Household consumption expenditures (for services),11907
2004,Mississippi,      Housing and utilities,3500
2004,Mississippi,      Health care,3859
2004,Missouri,      Clothing and footwear,861
2004,Missouri,      Gasoline and other energy goods,1012
2004,Missouri,    Household consumption expenditures (for services),16069
2004,Missouri,      Housing and utilities,4126
2004,Missouri,      Health care,4330
2004,Montana,      Clothing and footwear,767
2004,Montana,      Gasoline and other energy goods,1019
2004,Montana,    Household consumption expenditures (for services),14722
2004,Montana,      Housing and utilities,4141
2004,Montana,      Health care,3927
2004,Nebraska,      Clothing and footwear,855
2004,Nebraska,      Gasoline and other energy goods,1174
2004,Nebraska,    Household consumption expenditures (for services),16452
2004,Nebraska,      Housing and utilities,4155
2004,Nebraska,      Health care,4362
2004,Nevada,      Clothing and footwear,871
2004,Nevada,      Gasoline and other energy goods,788
2004,Nevada,    Household consumption expenditures (for services),17140
2004,Nevada,      Housing and utilities,4833
2004,Nevada,      Health care,3514
2004,New Hampshire,      Clothing and footwear,1390
2004,New Hampshire,      Gasoline and other energy goods,1239
2004,New Hampshire,    Household consumption expenditures (for services),20558
2004,New Hampshire,      Housing and utilities,6215
2004,New Hampshire,      Health care,4875
2004,New Jersey,      Clothing and footwear,1353
2004,New Jersey,      Gasoline and other energy goods,664
2004,New Jersey,    Household consumption expenditures (for services),21954
2004,New Jersey,      Housing and utilities,6851
2004,New Jersey,      Health care,4599
2004,New Mexico,      Clothing and footwear,788
2004,New Mexico,      Gasoline and other energy goods,1019
2004,New Mexico,    Household consumption expenditures (for services),14161
2004,New Mexico,      Housing and utilities,4063
2004,New Mexico,      Health care,3539
2004,New York,      Clothing and footwear,1385
2004,New York,      Gasoline and other energy goods,560
2004,New York,    Household consumption expenditures (for services),20747
2004,New York,      Housing and utilities,5660
2004,New York,      Health care,5074
2004,North Carolina,      Clothing and footwear,910
2004,North Carolina,      Gasoline and other energy goods,874
2004,North Carolina,    Household consumption expenditures (for services),14315
2004,North Carolina,      Housing and utilities,3987
2004,North Carolina,      Health care,3996
2004,North Dakota,      Clothing and footwear,901
2004,North Dakota,      Gasoline and other energy goods,1511
2004,North Dakota,    Household consumption expenditures (for services),15220
2004,North Dakota,      Housing and utilities,3512
2004,North Dakota,      Health care,4500
2004,Ohio,      Clothing and footwear,874
2004,Ohio,      Gasoline and other energy goods,755
2004,Ohio,    Household consumption expenditures (for services),16508
2004,Ohio,      Housing and utilities,4368
2004,Ohio,      Health care,4510
2004,Oklahoma,      Clothing and footwear,842
2004,Oklahoma,      Gasoline and other energy goods,854
2004,Oklahoma,    Household consumption expenditures (for services),13089
2004,Oklahoma,      Housing and utilities,3671
2004,Oklahoma,      Health care,3822
2004,Oregon,      Clothing and footwear,941
2004,Oregon,      Gasoline and other energy goods,775
2004,Oregon,    Household consumption expenditures (for services),17280
2004,Oregon,      Housing and utilities,5727
2004,Oregon,      Health care,3917
2004,Pennsylvania,      Clothing and footwear,997
2004,Pennsylvania,      Gasoline and other energy goods,825
2004,Pennsylvania,    Household consumption expenditures (for services),18258
2004,Pennsylvania,      Housing and utilities,4466
2004,Pennsylvania,      Health care,4724
2004,Rhode Island,      Clothing and footwear,958
2004,Rhode Island,      Gasoline and other energy goods,822
2004,Rhode Island,    Household consumption expenditures (for services),18802
2004,Rhode Island,      Housing and utilities,5497
2004,Rhode Island,      Health care,4771
2004,South Carolina,      Clothing and footwear,1071
2004,South Carolina,      Gasoline and other energy goods,992
2004,South Carolina,    Household consumption expenditures (for services),13864
2004,South Carolina,      Housing and utilities,3756
2004,South Carolina,      Health care,3783
2004,South Dakota,      Clothing and footwear,771
2004,South Dakota,      Gasoline and other energy goods,1320
2004,South Dakota,    Household consumption expenditures (for services),15493
2004,South Dakota,      Housing and utilities,3748
2004,South Dakota,      Health care,4558
2004,Tennessee,      Clothing and footwear,940
2004,Tennessee,      Gasoline and other energy goods,788
2004,Tennessee,    Household consumption expenditures (for services),14813
2004,Tennessee,      Housing and utilities,4215
2004,Tennessee,      Health care,4208
2004,Texas,      Clothing and footwear,981
2004,Texas,      Gasoline and other energy goods,826
2004,Texas,    Household consumption expenditures (for services),15595
2004,Texas,      Housing and utilities,4491
2004,Texas,      Health care,3744
2004,Utah,      Clothing and footwear,869
2004,Utah,      Gasoline and other energy goods,819
2004,Utah,    Household consumption expenditures (for services),14388
2004,Utah,      Housing and utilities,4762
2004,Utah,      Health care,3100
2004,Vermont,      Clothing and footwear,859
2004,Vermont,      Gasoline and other energy goods,1430
2004,Vermont,    Household consumption expenditures (for services),18640
2004,Vermont,      Housing and utilities,5140
2004,Vermont,      Health care,4839
2004,Virginia,      Clothing and footwear,1133
2004,Virginia,      Gasoline and other energy goods,939
2004,Virginia,    Household consumption expenditures (for services),18503
2004,Virginia,      Housing and utilities,5297
2004,Virginia,      Health care,3796
2004,Washington,      Clothing and footwear,885
2004,Washington,      Gasoline and other energy goods,782
2004,Washington,    Household consumption expenditures (for services),19154
2004,Washington,      Housing and utilities,6016
2004,Washington,      Health care,4325
2004,West Virginia,      Clothing and footwear,666
2004,West Virginia,      Gasoline and other energy goods,864
2004,West Virginia,    Household consumption expenditures (for services),12830
2004,West Virginia,      Housing and utilities,3192
2004,West Virginia,      Health care,4516
2004,Wisconsin,      Clothing and footwear,855
2004,Wisconsin,      Gasoline and other energy goods,931
2004,Wisconsin,    Household consumption expenditures (for services),17114
2004,Wisconsin,      Housing and utilities,4733
2004,Wisconsin,      Health care,4801
2004,Wyoming,      Clothing and footwear,718
2004,Wyoming,      Gasoline and other energy goods,1917
2004,Wyoming,    Household consumption expenditures (for services),16209
2004,Wyoming,      Housing and utilities,4407
2004,Wyoming,      Health care,3884
2005,United States,      Clothing and footwear,1051
2005,United States,      Gasoline and other energy goods,960
2005,United States,    Household consumption expenditures (for services),18456
2005,United States,      Housing and utilities,5359
2005,United States,      Health care,4469
2005,Alabama,      Clothing and footwear,919
2005,Alabama,      Gasoline and other energy goods,997
2005,Alabama,    Household consumption expenditures (for services),14460
2005,Alabama,      Housing and utilities,3700
2005,Alabama,      Health care,4240
2005,Alaska,      Clothing and footwear,907
2005,Alaska,      Gasoline and other energy goods,1048
2005,Alaska,    Household consumption expenditures (for services),21242
2005,Alaska,      Housing and utilities,5598
2005,Alaska,      Health care,5936
2005,Arizona,      Clothing and footwear,980
2005,Arizona,      Gasoline and other energy goods,964
2005,Arizona,    Household consumption expenditures (for services),16740
2005,Arizona,      Housing and utilities,4694
2005,Arizona,      Health care,3886
2005,Arkansas,      Clothing and footwear,879
2005,Arkansas,      Gasoline and other energy goods,1150
2005,Arkansas,    Household consumption expenditures (for services),13643
2005,Arkansas,      Housing and utilities,3694
2005,Arkansas,      Health care,4013
2005,California,      Clothing and footwear,1215
2005,California,      Gasoline and other energy goods,772
2005,California,    Household consumption expenditures (for services),20109
2005,California,      Housing and utilities,6523
2005,California,      Health care,4104
2005,Colorado,      Clothing and footwear,1072
2005,Colorado,      Gasoline and other energy goods,921
2005,Colorado,    Household consumption expenditures (for services),20645
2005,Colorado,      Housing and utilities,6635
2005,Colorado,      Health care,4171
2005,Connecticut,      Clothing and footwear,1288
2005,Connecticut,      Gasoline and other energy goods,1062
2005,Connecticut,    Household consumption expenditures (for services),24135
2005,Connecticut,      Housing and utilities,7408
2005,Connecticut,      Health care,5240
2005,Delaware,      Clothing and footwear,1141
2005,Delaware,      Gasoline and other energy goods,935
2005,Delaware,    Household consumption expenditures (for services),19348
2005,Delaware,      Housing and utilities,5536
2005,Delaware,      Health care,5236
2005,District of Columbia,      Clothing and footwear,1463
2005,District of Columbia,      Gasoline and other energy goods,1088
2005,District of Columbia,    Household consumption expenditures (for services),33346
2005,District of Columbia,      Housing and utilities,6732
2005,District of Columbia,      Health care,7585
2005,Florida,      Clothing and footwear,862
2005,Florida,      Gasoline and other energy goods,772
2005,Florida,    Household consumption expenditures (for services),18498
2005,Florida,      Housing and utilities,5257
2005,Florida,      Health care,4512
2005,Georgia,      Clothing and footwear,1049
2005,Georgia,      Gasoline and other energy goods,1083
2005,Georgia,    Household consumption expenditures (for services),16359
2005,Georgia,      Housing and utilities,4728
2005,Georgia,      Health care,3934
2005,Hawaii,      Clothing and footwear,738
2005,Hawaii,      Gasoline and other energy goods,658
2005,Hawaii,    Household consumption expenditures (for services),18700
2005,Hawaii,      Housing and utilities,5754
2005,Hawaii,      Health care,4405
2005,Idaho,      Clothing and footwear,723
2005,Idaho,      Gasoline and other energy goods,1104
2005,Idaho,    Household consumption expenditures (for services),14504
2005,Idaho,      Housing and utilities,4465
2005,Idaho,      Health care,3641
2005,Illinois,      Clothing and footwear,1130
2005,Illinois,      Gasoline and other energy goods,733
2005,Illinois,    Household consumption expenditures (for services),19697
2005,Illinois,      Housing and utilities,5765
2005,Illinois,      Health care,4395
2005,Indiana,      Clothing and footwear,891
2005,Indiana,      Gasoline and other energy goods,1193
2005,Indiana,    Household consumption expenditures (for services),16158
2005,Indiana,      Housing and utilities,4492
2005,Indiana,      Health care,4451
2005,Iowa,      Clothing and footwear,844
2005,Iowa,      Gasoline and other energy goods,1321
2005,Iowa,    Household consumption expenditures (for services),15720
2005,Iowa,      Housing and utilities,4313
2005,Iowa,      Health care,4279
2005,Kansas,      Clothing and footwear,790
2005,Kansas,      Gasoline and other energy goods,973
2005,Kansas,    Household consumption expenditures (for services),16227
2005,Kansas,      Housing and utilities,4548
2005,Kansas,      Health care,4378
2005,Kentucky,      Clothing and footwear,789
2005,Kentucky,      Gasoline and other energy goods,1132
2005,Kentucky,    Household consumption expenditures (for services),14330
2005,Kentucky,      Housing and utilities,3830
2005,Kentucky,      Health care,4316
2005,Louisiana,      Clothing and footwear,867
2005,Louisiana,      Gasoline and other energy goods,893
2005,Louisiana,    Household consumption expenditures (for services),14272
2005,Louisiana,      Housing and utilities,4085
2005,Louisiana,      Health care,4095
2005,Maine,      Clothing and footwear,988
2005,Maine,      Gasoline and other energy goods,1765
2005,Maine,    Household consumption expenditures (for services),18196
2005,Maine,      Housing and utilities,4794
2005,Maine,      Health care,5040
2005,Maryland,      Clothing and footwear,1180
2005,Maryland,      Gasoline and other energy goods,935
2005,Maryland,    Household consumption expenditures (for services),20914
2005,Maryland,      Housing and utilities,6545
2005,Maryland,      Health care,4842
2005,Massachusetts,      Clothing and footwear,1379
2005,Massachusetts,      Gasoline and other energy goods,988
2005,Massachusetts,    Household consumption expenditures (for services),24961
2005,Massachusetts,      Housing and utilities,7449
2005,Massachusetts,      Health care,6055
2005,Michigan,      Clothing and footwear,902
2005,Michigan,      Gasoline and other energy goods,945
2005,Michigan,    Household consumption expenditures (for services),17748
2005,Michigan,      Housing and utilities,5236
2005,Michigan,      Health care,4280
2005,Minnesota,      Clothing and footwear,1073
2005,Minnesota,      Gasoline and other energy goods,1168
2005,Minnesota,    Household consumption expenditures (for services),20402
2005,Minnesota,      Housing and utilities,5494
2005,Minnesota,      Health care,5261
2005,Mississippi,      Clothing and footwear,824
2005,Mississippi,      Gasoline and other energy goods,1068
2005,Mississippi,    Household consumption expenditures (for services),12522
2005,Mississippi,      Housing and utilities,3753
2005,Mississippi,      Health care,4002
2005,Missouri,      Clothing and footwear,879
2005,Missouri,      Gasoline and other energy goods,1233
2005,Missouri,    Household consumption expenditures (for services),16883
2005,Missouri,      Housing and utilities,4417
2005,Missouri,      Health care,4553
2005,Montana,      Clothing and footwear,796
2005,Montana,      Gasoline and other energy goods,1285
2005,Montana,    Household consumption expenditures (for services),15753
2005,Montana,      Housing and utilities,4520
2005,Montana,      Health care,4204
2005,Nebraska,      Clothing and footwear,876
2005,Nebraska,      Gasoline and other energy goods,1418
2005,Nebraska,    Household consumption expenditures (for services),17436
2005,Nebraska,      Housing and utilities,4492
2005,Nebraska,      Health care,4701
2005,Nevada,      Clothing and footwear,939
2005,Nevada,      Gasoline and other energy goods,977
2005,Nevada,    Household consumption expenditures (for services),18405
2005,Nevada,      Housing and utilities,5121
2005,Nevada,      Health care,3650
2005,New Hampshire,      Clothing and footwear,1401
2005,New Hampshire,      Gasoline and other energy goods,1488
2005,New Hampshire,    Household consumption expenditures (for services),21927
2005,New Hampshire,      Housing and utilities,6689
2005,New Hampshire,      Health care,5287
2005,New Jersey,      Clothing and footwear,1395
2005,New Jersey,      Gasoline and other energy goods,821
2005,New Jersey,    Household consumption expenditures (for services),23208
2005,New Jersey,      Housing and utilities,7287
2005,New Jersey,      Health care,4841
2005,New Mexico,      Clothing and footwear,759
2005,New Mexico,      Gasoline and other energy goods,1237
2005,New Mexico,    Household consumption expenditures (for services),15026
2005,New Mexico,      Housing and utilities,4304
2005,New Mexico,      Health care,3850
2005,New York,      Clothing and footwear,1442
2005,New York,      Gasoline and other energy goods,664
2005,New York,    Household consumption expenditures (for services),22107
2005,New York,      Housing and utilities,6120
2005,New York,      Health care,5274
2005,North Carolina,      Clothing and footwear,950
